current_a,baseline_qc_module_w,adjoint_response_module_w,finite_difference_response_module_w,adjoint_fd_relative_error,maximum_relative_energy_residual,temperature_minimum_k,temperature_maximum_k,normalized_mode_minimum_on_field,normalized_mode_maximum_on_field
0.0,-0.8071111182558696,0.0,0.0,0.0,0.0,323.0,373.0,0.0,0.9999999386681093
0.5,-0.35864845382531996,1.7100382680779787e-06,1.7100356281459412e-06,1.5437853566470385e-06,1.3543138810043592e-16,323.0,373.0,0.0,0.9999997333225198
1.0,0.053933928567466,9.745749542380226e-06,9.745754179507859e-06,4.758102609183132e-07,4.192718561559012e-16,323.0,373.0,0.0,0.99999961448752
1.5,0.4305950666108146,3.3825005407868945e-05,3.382501391595756e-05,2.515325131699085e-07,1.9741972023646708e-16,323.0,373.0,0.0,0.9999997320981394
2.0,0.7709093200956589,0.00012853732548335703,0.00012853734824199342,1.7705858058842324e-07,1.1692059513122304e-16,323.0,373.0,0.0,0.9999985155743405
2.5,1.0740033715464885,0.00044538073686487684,0.0004453808231663636,1.9377013787736609e-07,8.15743376157791e-17,323.0,373.0,0.0,0.9999999553776961
3.0,1.3384564154343905,0.0013144084350294556,0.001314408740876738,2.326881616437761e-07,2.4703666032148357e-16,323.0,373.0,0.0,0.999999375121194
